type;diretor;qtd
Movie;R. Ellis Frazier;2
Movie;Norman Jewison;2
Movie;Obi Emelonye;2
Movie;Punit Malhotra;2
Movie;Oliver Twinch;2
Movie;Toa Fraser;2
Movie;Tony Scott;2
Movie;Todd Kauffman;2
Movie;Olivier Marchal;2
Movie;Mariano Cohn;2
Movie;Ridley Scott;2
Movie;Ringo Lam;2
Movie;Justin Kelly;2
Movie;Kagiso Lediga;2
Movie;Sam Wrench;2
Movie;Kareem Tabsch;2
Movie;Karen J. Lloyd;2
Movie;Sam Taplin;2
Movie;Sam Raimi;2
Movie;Kasia Uscinska;2
Movie;Sam Mendes;2
Movie;Sam Hobkinson;2
Movie;Kedar Shinde;2
Movie;Keegan Kuhn;2
Movie;Keishi Otomo;2
Movie;Keith Scholey;2
Movie;Kemi Adetiba;2
Movie;Ken Burns;2
Movie;Sam Dunn;2
Movie;Salvador Calvo;2
Movie;Kenny Young;2
Movie;Keoni Waxman;2
Movie;Saket Chaudhary;2
Movie;Kevin Layne;2
Movie;Kevin MacDonald;2
Movie;Kevin Munroe;2
Movie;Khaled El Halafawy;2
Movie;Sachin;2
Movie;Kim A. Snyder;2
Movie;Kim Joo-hyung;2
Movie;Kabir Sadanand;2
Movie;Sameer Vidwans;2
Movie;Tim Maltby;2
Movie;Walter Taylaur;2
Movie;Satish Kaushik;2
Movie;John Stockwell;2
Movie;John Wells;2
Movie;Warren P. Sonoda;2
Movie;Jon Favreau;2
Movie;Jon Garaño;2
Movie;Jon Lucas;2
Movie;Saratswadee Wongsomphet;2
Movie;Sarah Gavron;2
Movie;Jon Shenk;2
Movie;Sarah Adina Smith;2
Movie;Jonathan Hensleigh;2
Movie;Sara Colangelo;2
Movie;Jonathan Levine;2
Movie;Jonathan Mostow;2
Movie;Joram Lürsen;2
Movie;Jose Manuel Colón;2
Movie;Santosh Sivan;2
Movie;Sanjay Jadhav;2
Movie;Josh Safdie;2
Movie;Jota Linares;2
Movie;Joyce Bernal;2
Movie;Julien Leclercq;2
Movie;Julián Hernández;2
Movie;Sangeeth Sivan;2
Movie;Sang-ho Yeon;2
Movie;Justin Benson;2
Movie;S.S. Wilson;2
Movie;Kingsley Ogoro;2
Movie;Kip Andersen;2
Movie;Kobun Shizuno;2
Movie;Lucky Kuswandi;2
Movie;Luis Estrada;2
Movie;Rodrigo Van Der Put;2
Movie;Luis Lopez;2
Movie;Luis Valdez;2
Movie;Luv Ranjan;2
Movie;Rod Blackhurst;2
Movie;M. Night Shyamalan;2
Movie;Madeleine Parry;2
Movie;Vir Das;2
Movie;Vipul Amrutlal Shah;2
Movie;Mag Hsu;2
Movie;Robin Swicord;2
Movie;Vinil Mathew;2
Movie;Tiller Russell;2
Movie;Mahsun Kırmızıgül;2
Movie;Makarand Mane;2
Movie;Malcolm D. Lee;2
Movie;Mana Yasuda;2
Movie;Tim Johnson;2
Movie;Manish Jha;2
Movie;Robert Altman;2
Movie;Rob Marshall;2
Movie;Manolo Caro;2
